gid,risk_category,region,business_type,regulatory_status,compliance_level,revenue,employee_count,years_in_business,credit_score,debt_to_equity_ratio,liquidity_ratio,market_share,growth_rate,profitability_margin,customer_satisfaction,operational_efficiency,regulatory_violations,audit_score,description,g2g_score
5b009c85-f564-4d1b-8587-47e0091c73b6,Medium,Middle East,Telecommunications,Minor Issues,Good,76931473.65285796,172,1,615,0.6569575688642679,1.170196754075091,0.16171038795459555,-0.004343129386145899,0.06575631486590125,63.863897443212416,55.933123965851856,1,63.603793439237606,Established telecommunications business in middle east market with moderate operational metrics and strong regulatory standing.,0.5547
0775500c-8b79-4e27-8c0c-367eb81f868e,Medium,Europe,Finance,Major Issues,Fair,17277639.59057681,226,14,744,0.7340498328898833,0.8226189842071646,0.29923972676524285,0.010780142273872516,0.10533258228068995,72.35571507111362,94.01785543899057,3,81.78298186747368,A finance company operating in europe with adequate regulatory compliance and solid financial performance.,0.7172
45176604-c802-4bf9-a4c6-602fa4ad9b24,Low,Middle East,Technology,Minor Issues,Good,76775.92977221898,7,2,796,1.7198101859653199,2.5069431828743487,0.2588489453799926,0.06320182692395876,0.19697378737065008,93.50245206814586,38.51689426111891,0,91.3795294322489,Established technology business in middle east market with outstanding operational metrics and strong regulatory standing.,0.7087
dc757ff3-4f87-440f-af58-b918161a2597,Medium,Africa,Telecommunications,Compliant,Good,16049542.906546943,2836,9,588,1.2688619023391632,0.8897013251013874,0.04915060445150502,0.1857471966999081,0.12887387020729082,52.99548172230711,87.85258943012325,0,70.17575753141087,Leading telecommunications organization based in africa showing good growth trajectory and maintaining strong compliance standards.,0.5893
787ea8c9-c8e4-46a2-98d8-dfc86919a687,Medium,Europe,Telecommunications,Minor Issues,Good,16149.557112062299,91,2,629,0.5263326691101963,1.4966489461100374,0.2959152205278331,0.290593810798894,-0.05350169722392332,74.60229186826174,71.20460419882053,0,100.0,A telecommunications company operating in europe with strong regulatory compliance and moderate financial performance.,0.5727
7d2f13a5-76ff-493f-8093-4cef1ee0c13b,Medium,Africa,Telecommunications,Under Review,Good,1407046.7458522744,131,1,781,0.6738511853060951,2.868810732592296,0.3250239836735762,0.17736300989436593,0.0021701170659754643,83.04504048573098,51.70618137477445,0,77.16746707663764,Leading telecommunications organization based in africa showing challenging growth trajectory and maintaining strong compliance standards.,0.6318
d387be87-4709-417a-a8e1-d248555f823d,Medium,Latin America,Technology,Non-Compliant,Critical,2436587.8931904198,71,2,698,1.458437756771924,1.3891699623761127,0.26422486848153215,0.24540311981940674,0.145351525662967,72.53249348757143,67.14018130584947,3,11.308596089979005,Established technology business in latin america market with solid operational metrics and concerning regulatory standing.,0.4515
19051896-279e-40d7-8e12-a6835607f599,Medium,Asia Pacific,Healthcare,Under Review,Good,29795157.459157452,2,8,599,1.9740681529101816,2.088829729007669,0.28887558593864515,-0.18748765932482855,0.08054924316743876,79.90835079548799,80.13150603345063,1,100.0,Established healthcare business in asia pacific market with solid operational metrics and strong regulatory standing.,0.6385
6284c3e7-f79d-47c8-b3f7-8a3e85299f24,Medium,North America,Healthcare,Compliant,Excellent,3672625.7847716166,9,16,702,2.346579733138789,0.9273679581126011,0.31193926608932737,0.15706789263683132,0.10191454515726696,88.0787098321859,98.74712656667054,1,85.07306372740632,Established healthcare business in north america market with good operational metrics and excellent regulatory standing.,0.5954
f7f274a9-b7a2-432c-9351-3de579ec3231,Low,Africa,Healthcare,Compliant,Excellent,162504.86415827853,26,1,804,3.484428746222417,1.7809209177600633,0.3475491591250961,0.4383553936088694,0.24747310066564265,95.45153236427556,86.5753195520975,1,95.48019743994952,Leading healthcare organization based in africa showing strong growth trajectory and maintaining excellent compliance standards.,0.7244
af11bbd7-8449-4a88-a3db-d31a776b1492,Low,Middle East,Technology,Minor Issues,Fair,6172003.532909661,4,10,686,2.0840009039408236,5.890222178194973,0.36799179676569915,-0.11198795998946949,0.13550555425169827,86.61951080144006,51.46139056843834,2,69.10711965907299,Established technology business in middle east market with solid operational metrics and adequate regulatory standing.,0.6492
a30f26cd-b12f-4a5d-b199-0e6f2f14b84e,Low,Asia Pacific,Technology,Compliant,Excellent,9334408.798660723,91,12,796,1.8208156163795481,4.881117050258548,0.22171455150172412,0.15521401355391223,0.18485108630571284,64.96537759024972,52.63831549191025,0,80.81491118789567,Established technology business in asia pacific market with strong operational metrics and excellent regulatory standing.,0.7617
727189c7-072d-4245-a409-a1112ae72203,Low,Middle East,Technology,Compliant,Excellent,8018784.005649724,48,6,833,0.22322498832337903,4.334005558451026,0.21159315782766394,-0.14911789387516167,-0.022725209495914223,80.44604405005963,92.88743070949367,0,93.57864658788466,A technology company operating in middle east with excellent regulatory compliance and moderate financial performance.,0.8129
bfdae345-892b-4aac-8c08-ec06dbb1ee9d,Medium,Asia Pacific,Healthcare,Compliant,Excellent,3409266.362889553,63,7,685,0.2384403558772683,1.2610388847239875,0.43861964136505505,-0.024871986713787583,0.09929463630033539,43.64973377054581,100.0,1,91.13841341475424,Established healthcare business in asia pacific market with good operational metrics and excellent regulatory standing.,0.744
691b1b3a-3c2e-4382-b6e1-be373565d376,Medium,Europe,Manufacturing,Minor Issues,Excellent,32890968.909355577,26,23,606,0.8430257958665773,1.9868382166796164,0.3901813597523539,0.07931557565145557,0.12581748482704716,62.59153584671515,80.38693028482345,1,100.0,A manufacturing company operating in europe with excellent regulatory compliance and solid financial performance.,0.6778
732f305e-aca5-4491-9f13-52cf40f478e8,Low,Asia Pacific,Healthcare,Minor Issues,Fair,3352392.411370796,202,1,759,0.915078387018224,2.9617653005464377,0.03889432605933847,0.2348900606026965,-0.04481050599968128,46.30940224403672,77.24952917610604,2,50.196501894690364,Leading healthcare organization based in asia pacific showing declining growth trajectory and maintaining adequate compliance standards.,0.6783
0c65740a-af0a-4bdf-bb0b-1dc652413a44,Medium,Middle East,Telecommunications,Under Review,Good,32836909.94957085,31,6,663,0.6787512585112818,4.407536831579628,0.13195791163403536,0.17015809163173048,-0.00805775623532051,65.44146701886184,56.86942097062365,0,77.20919770752124,A telecommunications company operating in middle east with strong regulatory compliance and declining financial performance.,0.7001
587e7b69-3fe6-42d4-b584-57263cac5a97,Medium,Europe,Technology,Under Review,Good,71323897.23647554,37,1,708,3.2911470094441064,2.7918238755520934,0.14728548129263733,-0.1796309655648351,0.21554710335854488,88.2909534036923,67.25844357916294,0,100.0,Established technology business in europe market with excellent operational metrics and strong regulatory standing.,0.5817
aae76d53-2bf3-4189-8884-a22eef662f36,Medium,North America,Retail,Minor Issues,Fair,155387.65273922926,333,1,540,2.078578844746845,0.44711944665752357,0.31159148750803284,-0.041943332217797995,0.0398042639738505,100.0,70.87405336168547,2,86.10523018148129,Leading retail organization based in north america showing moderate growth trajectory and maintaining adequate compliance standards.,0.4398
